loggernet_variable,cr1000_name,design_scale_type,design_link,var_norm_split,research_name,logger,type,units,definition,table
BMEpressure(1),bmepressure1,plot,a0,y,bmepressure,genx,number,millibars,atmospheric pressure,genx_ardlog
BMEpressure(2),bmepressure2,plot,c1,y,bmepressure,genx,number,millibars,atmospheric pressure,genx_ardlog
BMEpressure(3),bmepressure3,plot,b2,y,bmepressure,genx,number,millibars,atmospheric pressure,genx_ardlog
BMEpressure(4),bmepressure4,plot,a3,y,bmepressure,genx,number,millibars,atmospheric pressure,genx_ardlog
BMEpressure(5),bmepressure5,plot,c4,y,bmepressure,genx,number,millibars,atmospheric pressure,genx_ardlog
BMEpressure(6),bmepressure6,plot,b4,y,bmepressure,genx,number,millibars,atmospheric pressure,genx_ardlog
BMEpressure(7),bmepressure7,plot,a5,y,bmepressure,genx,number,millibars,atmospheric pressure,genx_ardlog
BMEpressure(8),bmepressure8,plot,c6,y,bmepressure,genx,number,millibars,atmospheric pressure,genx_ardlog
BMEpressure(9),bmepressure9,plot,b6,y,bmepressure,genx,number,millibars,atmospheric pressure,genx_ardlog
BMEpressure(10),bmepressure10,plot,a7,y,bmepressure,genx,number,millibars,atmospheric pressure,genx_ardlog
BMEpressure(11),bmepressure11,plot,c8,y,bmepressure,genx,number,millibars,atmospheric pressure,genx_ardlog
BMEpressure(12),bmepressure12,plot,b9,y,bmepressure,genx,number,millibars,atmospheric pressure,genx_ardlog
BMEVOC(1),bmevoc1,plot,a0,y,bmevoc,genx,number,kiloohms,concentration of volatile organic compounds measured as resistance,genx_ardlog
BMEVOC(2),bmevoc2,plot,c1,y,bmevoc,genx,number,kiloohms,concentration of volatile organic compounds measured as resistance,genx_ardlog
BMEVOC(3),bmevoc3,plot,b2,y,bmevoc,genx,number,kiloohms,concentration of volatile organic compounds measured as resistance,genx_ardlog
BMEVOC(4),bmevoc4,plot,a3,y,bmevoc,genx,number,kiloohms,concentration of volatile organic compounds measured as resistance,genx_ardlog
BMEVOC(5),bmevoc5,plot,c4,y,bmevoc,genx,number,kiloohms,concentration of volatile organic compounds measured as resistance,genx_ardlog
BMEVOC(6),bmevoc6,plot,b4,y,bmevoc,genx,number,kiloohms,concentration of volatile organic compounds measured as resistance,genx_ardlog
BMEVOC(7),bmevoc7,plot,a5,y,bmevoc,genx,number,kiloohms,concentration of volatile organic compounds measured as resistance,genx_ardlog
BMEVOC(8),bmevoc8,plot,c6,y,bmevoc,genx,number,kiloohms,concentration of volatile organic compounds measured as resistance,genx_ardlog
BMEVOC(9),bmevoc9,plot,b6,y,bmevoc,genx,number,kiloohms,concentration of volatile organic compounds measured as resistance,genx_ardlog
BMEVOC(10),bmevoc10,plot,a7,y,bmevoc,genx,number,kiloohms,concentration of volatile organic compounds measured as resistance,genx_ardlog
BMEVOC(11),bmevoc11,plot,c8,y,bmevoc,genx,number,kiloohms,concentration of volatile organic compounds measured as resistance,genx_ardlog
BMEVOC(12),bmevoc12,plot,b9,y,bmevoc,genx,number,kiloohms,concentration of volatile organic compounds measured as resistance,genx_ardlog
Therm10C(1),therm10c1,plot,a0,y,therm10c,genx,number,degrees Celsius,soil temperature at 10 centimeter depth in the chamber,genx_ardlog
Therm10C(2),therm10c2,plot,c1,y,therm10c,genx,number,degrees Celsius,soil temperature at 10 centimeter depth in the chamber,genx_ardlog
Therm10C(3),therm10c3,plot,b2,y,therm10c,genx,number,degrees Celsius,soil temperature at 10 centimeter depth in the chamber,genx_ardlog
Therm10C(4),therm10c4,plot,a3,y,therm10c,genx,number,degrees Celsius,soil temperature at 10 centimeter depth in the chamber,genx_ardlog
Therm10C(5),therm10c5,plot,c4,y,therm10c,genx,number,degrees Celsius,soil temperature at 10 centimeter depth in the chamber,genx_ardlog
Therm10C(6),therm10c6,plot,b4,y,therm10c,genx,number,degrees Celsius,soil temperature at 10 centimeter depth in the chamber,genx_ardlog
Therm10C(7),therm10c7,plot,a5,y,therm10c,genx,number,degrees Celsius,soil temperature at 10 centimeter depth in the chamber,genx_ardlog
Therm10C(8),therm10c8,plot,c6,y,therm10c,genx,number,degrees Celsius,soil temperature at 10 centimeter depth in the chamber,genx_ardlog
Therm10C(9),therm10c9,plot,b6,y,therm10c,genx,number,degrees Celsius,soil temperature at 10 centimeter depth in the chamber,genx_ardlog
Therm10C(10),therm10c10,plot,a7,y,therm10c,genx,number,degrees Celsius,soil temperature at 10 centimeter depth in the chamber,genx_ardlog
Therm10C(11),therm10c11,plot,c8,y,therm10c,genx,number,degrees Celsius,soil temperature at 10 centimeter depth in the chamber,genx_ardlog
Therm10C(12),therm10c12,plot,b9,y,therm10c,genx,number,degrees Celsius,soil temperature at 10 centimeter depth in the chamber,genx_ardlog
Therm25C(1),therm25c1,plot,a0,y,therm25c,genx,number,degrees Celsius,soil temperature at 25 centimeter depth in the chamber,genx_ardlog
Therm25C(2),therm25c2,plot,c1,y,therm25c,genx,number,degrees Celsius,soil temperature at 25 centimeter depth in the chamber,genx_ardlog
Therm25C(3),therm25c3,plot,b2,y,therm25c,genx,number,degrees Celsius,soil temperature at 25 centimeter depth in the chamber,genx_ardlog
Therm25C(4),therm25c4,plot,a3,y,therm25c,genx,number,degrees Celsius,soil temperature at 25 centimeter depth in the chamber,genx_ardlog
Therm25C(5),therm25c5,plot,c4,y,therm25c,genx,number,degrees Celsius,soil temperature at 25 centimeter depth in the chamber,genx_ardlog
Therm25C(6),therm25c6,plot,b4,y,therm25c,genx,number,degrees Celsius,soil temperature at 25 centimeter depth in the chamber,genx_ardlog
Therm25C(7),therm25c7,plot,a5,y,therm25c,genx,number,degrees Celsius,soil temperature at 25 centimeter depth in the chamber,genx_ardlog
Therm25C(8),therm25c8,plot,c6,y,therm25c,genx,number,degrees Celsius,soil temperature at 25 centimeter depth in the chamber,genx_ardlog
Therm25C(9),therm25c9,plot,b6,y,therm25c,genx,number,degrees Celsius,soil temperature at 25 centimeter depth in the chamber,genx_ardlog
Therm25C(10),therm25c10,plot,a7,y,therm25c,genx,number,degrees Celsius,soil temperature at 25 centimeter depth in the chamber,genx_ardlog
Therm25C(11),therm25c11,plot,c8,y,therm25c,genx,number,degrees Celsius,soil temperature at 25 centimeter depth in the chamber,genx_ardlog
Therm25C(12),therm25c12,plot,b9,y,therm25c,genx,number,degrees Celsius,soil temperature at 25 centimeter depth in the chamber,genx_ardlog
Therm10pin(1),therm10pin1,plot,a0,y,therm10pin,genx,number,degrees Celsius,soil temperature at 10 centimeter depth outside of the chamber,genx_ardlog
Therm10pin(2),therm10pin2,plot,c1,y,therm10pin,genx,number,degrees Celsius,soil temperature at 10 centimeter depth outside of the chamber,genx_ardlog
Therm10pin(3),therm10pin3,plot,b2,y,therm10pin,genx,number,degrees Celsius,soil temperature at 10 centimeter depth outside of the chamber,genx_ardlog
Therm10pin(4),therm10pin4,plot,a3,y,therm10pin,genx,number,degrees Celsius,soil temperature at 10 centimeter depth outside of the chamber,genx_ardlog
Therm10pin(5),therm10pin5,plot,c4,y,therm10pin,genx,number,degrees Celsius,soil temperature at 10 centimeter depth outside of the chamber,genx_ardlog
Therm10pin(6),therm10pin6,plot,b4,y,therm10pin,genx,number,degrees Celsius,soil temperature at 10 centimeter depth outside of the chamber,genx_ardlog
Therm10pin(7),therm10pin7,plot,a5,y,therm10pin,genx,number,degrees Celsius,soil temperature at 10 centimeter depth outside of the chamber,genx_ardlog
Therm10pin(8),therm10pin8,plot,c6,y,therm10pin,genx,number,degrees Celsius,soil temperature at 10 centimeter depth outside of the chamber,genx_ardlog
Therm10pin(9),therm10pin9,plot,b6,y,therm10pin,genx,number,degrees Celsius,soil temperature at 10 centimeter depth outside of the chamber,genx_ardlog
Therm10pin(10),therm10pin10,plot,a7,y,therm10pin,genx,number,degrees Celsius,soil temperature at 10 centimeter depth outside of the chamber,genx_ardlog
Therm10pin(11),therm10pin11,plot,c8,y,therm10pin,genx,number,degrees Celsius,soil temperature at 10 centimeter depth outside of the chamber,genx_ardlog
Therm10pin(12),therm10pin12,plot,b9,y,therm10pin,genx,number,degrees Celsius,soil temperature at 10 centimeter depth outside of the chamber,genx_ardlog
Therm90ext(1),therm90ext1,plot,a0,y,therm90ext,genx,number,degrees Celsius,soil temperature at 90 centimeter depth outside of the chamber,genx_ardlog
Therm90ext(2),therm90ext2,plot,c1,y,therm90ext,genx,number,degrees Celsius,soil temperature at 90 centimeter depth outside of the chamber,genx_ardlog
Therm90ext(3),therm90ext3,plot,b2,y,therm90ext,genx,number,degrees Celsius,soil temperature at 90 centimeter depth outside of the chamber,genx_ardlog
Therm90ext(4),therm90ext4,plot,a3,y,therm90ext,genx,number,degrees Celsius,soil temperature at 90 centimeter depth outside of the chamber,genx_ardlog
Therm90ext(5),therm90ext5,plot,c4,y,therm90ext,genx,number,degrees Celsius,soil temperature at 90 centimeter depth outside of the chamber,genx_ardlog
Therm90ext(6),therm90ext6,plot,b4,y,therm90ext,genx,number,degrees Celsius,soil temperature at 90 centimeter depth outside of the chamber,genx_ardlog
Therm90ext(7),therm90ext7,plot,a5,y,therm90ext,genx,number,degrees Celsius,soil temperature at 90 centimeter depth outside of the chamber,genx_ardlog
Therm90ext(8),therm90ext8,plot,c6,y,therm90ext,genx,number,degrees Celsius,soil temperature at 90 centimeter depth outside of the chamber,genx_ardlog
Therm90ext(9),therm90ext9,plot,b6,y,therm90ext,genx,number,degrees Celsius,soil temperature at 90 centimeter depth outside of the chamber,genx_ardlog
Therm90ext(10),therm90ext10,plot,a7,y,therm90ext,genx,number,degrees Celsius,soil temperature at 90 centimeter depth outside of the chamber,genx_ardlog
Therm90ext(11),therm90ext11,plot,c8,y,therm90ext,genx,number,degrees Celsius,soil temperature at 90 centimeter depth outside of the chamber,genx_ardlog
Therm90ext(12),therm90ext12,plot,b9,y,therm90ext,genx,number,degrees Celsius,soil temperature at 90 centimeter depth outside of the chamber,genx_ardlog
Therm10amb,therm10amb,site,logger,n,therm10amb,genx,number,degrees Celsius,ambient average from Campbell,genx_ardlog
CS_Code,cs_code,site,logger,n,cs_code,genx,number,NA,code for Campbell Scientific control of system,genx_ardlog
BoxTemp(1),boxtemp1,site,logger,n,boxtemp1,genx,number,degrees Celsius,temperature in LGR box,genx_ardlog
BoxTemp(2),boxtemp2,site,logger,n,boxtemp2,genx,number,degrees Celsius,temperature in LGR box,genx_ardlog
Logger,logger,key,logger,key,logger,genx,character,NA,logger name,genx_ardlog
Program,program,site,logger,n,program,genx,character,NA,program version,genx_ardlog
Table,table,site,logger,n,table,genx,character,NA,loggernet table name,genx_ardlog
co2(13),co213,plot,13_amb,y,co2,genx,number,parts per million,carbon dioxide concentration,genx_ardlog
co2(14),co214,plot,14_amb,y,co2,genx,number,parts per million,carbon dioxide concentration,genx_ardlog
co2ave1(13),co2ave113,plot,13_amb,y,co2ave1,genx,number,parts per million,1 minute average of carbon dioxide concentration,genx_ardlog
co2ave1(14),co2ave114,plot,14_amb,y,co2ave1,genx,number,parts per million,1 minute average of carbon dioxide concentration,genx_ardlog
BMETemp(13),bmetemp13,plot,13_amb,y,bmetemp,genx,number,degrees Celsius,air temperature,genx_ardlog
BMETemp(14),bmetemp14,plot,14_amb,y,bmetemp,genx,number,degrees Celsius,air temperature,genx_ardlog
BMERH(13),bmerh13,plot,13_amb,y,bmerh,genx,number,%,relative humidity,genx_ardlog
BMERH(14),bmerh14,plot,14_amb,y,bmerh,genx,number,%,relative humidity,genx_ardlog
BMEpressure(13),bmepressure13,plot,13_amb,y,bmepressure,genx,number,millibars,atmospheric pressure,genx_ardlog
BMEpressure(14),bmepressure14,plot,14_amb,y,bmepressure,genx,number,millibars,atmospheric pressure,genx_ardlog
BMEVOC(13),bmevoc13,plot,13_amb,y,bmevoc,genx,number,kiloohms,concentration of volatile organic compounds measured as resistance,genx_ardlog
BMEVOC(14),bmevoc14,plot,14_amb,y,bmevoc,genx,number,kiloohms,concentration of volatile organic compounds measured as resistance,genx_ardlog
Therm10C(13),therm10c13,plot,13_amb,y,therm10c,genx,number,degrees Celsius,soil temperature at 10 centimeter depth in the chamber,genx_ardlog
Therm10C(14),therm10c14,plot,14_amb,y,therm10c,genx,number,degrees Celsius,soil temperature at 10 centimeter depth in the chamber,genx_ardlog
Therm25C(13),therm25c13,plot,13_amb,y,therm25c,genx,number,degrees Celsius,soil temperature at 25 centimeter depth in the chamber,genx_ardlog
Therm25C(14),therm25c14,plot,14_amb,y,therm25c,genx,number,degrees Celsius,soil temperature at 25 centimeter depth in the chamber,genx_ardlog
Therm10pin(13),therm10pin13,plot,13_amb,y,therm10pin,genx,number,degrees Celsius,soil temperature at 10 centimeter depth outside of the chamber,genx_ardlog
Therm10pin(14),therm10pin14,plot,14_amb,y,therm10pin,genx,number,degrees Celsius,soil temperature at 10 centimeter depth outside of the chamber,genx_ardlog
Therm90ext(13),therm90ext13,plot,13_amb,y,therm90ext,genx,number,degrees Celsius,soil temperature at 90 centimeter depth outside of the chamber,genx_ardlog
Therm90ext(14),therm90ext14,plot,14_amb,y,therm90ext,genx,number,degrees Celsius,soil temperature at 90 centimeter depth outside of the chamber,genx_ardlog
rowid,rowid,key,logger,key,rowid,genx,character,NA,"unique id  for each orginal data row contatenate (timestamp, block, tabletype)",genx_ardlog
time2,time2,key,logger,key,time2,genx,number,YYYY-MM-DD HH:MM:SS,posix time stamp (EST standard),genx_ardlog
TIMESTAMP,timestamp,site,logger,n,timestamp,genx,number,YYYY-MM-DD HH:MM:SS,loggernet timestamp,genx_control
RECORD,record,site,logger,n,record,genx,number,NA,loggernet record number,genx_control
Statname,logger,key,logger,key,logger,genx,character,NA,logger name,genx_control
BTemp(1),btemp1,plot,a0,y,btemp,genx,number,degrees Celsius,belowground pin and lag temperature,genx_control
BTemp(2),btemp2,plot,b0,y,btemp,genx,number,degrees Celsius,belowground pin and lag temperature,genx_control
BTemp(3),btemp3,plot,c0,y,btemp,genx,number,degrees Celsius,belowground pin and lag temperature,genx_control
BTemp(4),btemp4,plot,a1,y,btemp,genx,number,degrees Celsius,belowground pin and lag temperature,genx_control
BTemp(5),btemp5,plot,b1,y,btemp,genx,number,degrees Celsius,belowground pin and lag temperature,genx_control
BTemp(6),btemp6,plot,c1,y,btemp,genx,number,degrees Celsius,belowground pin and lag temperature,genx_control
BTemp(7),btemp7,plot,a2,y,btemp,genx,number,degrees Celsius,belowground pin and lag temperature,genx_control
BTemp(8),btemp8,plot,b2,y,btemp,genx,number,degrees Celsius,belowground pin and lag temperature,genx_control
BTemp(9),btemp9,plot,c2,y,btemp,genx,number,degrees Celsius,belowground pin and lag temperature,genx_control
BTemp(10),btemp10,plot,a3,y,btemp,genx,number,degrees Celsius,belowground pin and lag temperature,genx_control
BTemp(11),btemp11,plot,b3,y,btemp,genx,number,degrees Celsius,belowground pin and lag temperature,genx_control
BTemp(12),btemp12,plot,c3,y,btemp,genx,number,degrees Celsius,belowground pin and lag temperature,genx_control
BTemp(13),btemp13,plot,a4,y,btemp,genx,number,degrees Celsius,belowground pin and lag temperature,genx_control
BTemp(14),btemp14,plot,b4,y,btemp,genx,number,degrees Celsius,belowground pin and lag temperature,genx_control
BTemp(15),btemp15,plot,c4,y,btemp,genx,number,degrees Celsius,belowground pin and lag temperature,genx_control
BTemp(16),btemp16,plot,a5,y,btemp,genx,number,degrees Celsius,belowground pin and lag temperature,genx_control
BTemp(17),btemp17,plot,b5,y,btemp,genx,number,degrees Celsius,belowground pin and lag temperature,genx_control
BTemp(18),btemp18,plot,c5,y,btemp,genx,number,degrees Celsius,belowground pin and lag temperature,genx_control
BTemp(19),btemp19,plot,a6,y,btemp,genx,number,degrees Celsius,belowground pin and lag temperature,genx_control
BTemp(20),btemp20,plot,b6,y,btemp,genx,number,degrees Celsius,belowground pin and lag temperature,genx_control
BTemp(21),btemp21,plot,c6,y,btemp,genx,number,degrees Celsius,belowground pin and lag temperature,genx_control
BTemp(22),btemp22,plot,a7,y,btemp,genx,number,degrees Celsius,belowground pin and lag temperature,genx_control
BTemp(23),btemp23,plot,b7,y,btemp,genx,number,degrees Celsius,belowground pin and lag temperature,genx_control
BTemp(24),btemp24,plot,c7,y,btemp,genx,number,degrees Celsius,belowground pin and lag temperature,genx_control
BTemp(25),btemp25,plot,a8,y,btemp,genx,number,degrees Celsius,belowground pin and lag temperature,genx_control
BTemp(26),btemp26,plot,b8,y,btemp,genx,number,degrees Celsius,belowground pin and lag temperature,genx_control
BTemp(27),btemp27,plot,c8,y,btemp,genx,number,degrees Celsius,belowground pin and lag temperature,genx_control
BTemp(28),btemp28,plot,a9,y,btemp,genx,number,degrees Celsius,belowground pin and lag temperature,genx_control
BTemp(29),btemp29,plot,b9,y,btemp,genx,number,degrees Celsius,belowground pin and lag temperature,genx_control
BTemp(30),btemp30,plot,c9,y,btemp,genx,number,degrees Celsius,belowground pin and lag temperature,genx_control
STemp_Avg(1),stemp_avg1,plot,a0,y,stemp_avg,genx,number,degrees Celsius,average incoming temperature from multiplexer screened for feedback loop temperature,genx_control
STemp_Avg(2),stemp_avg2,plot,a1,y,stemp_avg,genx,number,degrees Celsius,average incoming temperature from multiplexer screened for feedback loop temperature,genx_control
STemp_Avg(3),stemp_avg3,plot,a2,y,stemp_avg,genx,number,degrees Celsius,average incoming temperature from multiplexer screened for feedback loop temperature,genx_control
STemp_Avg(4),stemp_avg4,plot,a3,y,stemp_avg,genx,number,degrees Celsius,average incoming temperature from multiplexer screened for feedback loop temperature,genx_control
STemp_Avg(5),stemp_avg5,plot,a4,y,stemp_avg,genx,number,degrees Celsius,average incoming temperature from multiplexer screened for feedback loop temperature,genx_control
STemp_Avg(6),stemp_avg6,plot,a5,y,stemp_avg,genx,number,degrees Celsius,average incoming temperature from multiplexer screened for feedback loop temperature,genx_control
STemp_Avg(7),stemp_avg7,plot,a6,y,stemp_avg,genx,number,degrees Celsius,average incoming temperature from multiplexer screened for feedback loop temperature,genx_control
STemp_Avg(8),stemp_avg8,plot,a7,y,stemp_avg,genx,number,degrees Celsius,average incoming temperature from multiplexer screened for feedback loop temperature,genx_control
STemp_Avg(9),stemp_avg9,plot,a8,y,stemp_avg,genx,number,degrees Celsius,average incoming temperature from multiplexer screened for feedback loop temperature,genx_control
STemp_Avg(10),stemp_avg10,plot,a9,y,stemp_avg,genx,number,degrees Celsius,average incoming temperature from multiplexer screened for feedback loop temperature,genx_control
STemp_Avg(11),stemp_avg11,plot,b0,y,stemp_avg,genx,number,degrees Celsius,average incoming temperature from multiplexer screened for feedback loop temperature,genx_control
STemp_Avg(12),stemp_avg12,plot,b1,y,stemp_avg,genx,number,degrees Celsius,average incoming temperature from multiplexer screened for feedback loop temperature,genx_control
STemp_Avg(13),stemp_avg13,plot,b2,y,stemp_avg,genx,number,degrees Celsius,average incoming temperature from multiplexer screened for feedback loop temperature,genx_control
STemp_Avg(14),stemp_avg14,plot,b3,y,stemp_avg,genx,number,degrees Celsius,average incoming temperature from multiplexer screened for feedback loop temperature,genx_control
STemp_Avg(15),stemp_avg15,plot,b4,y,stemp_avg,genx,number,degrees Celsius,average incoming temperature from multiplexer screened for feedback loop temperature,genx_control
STemp_Avg(16),stemp_avg16,plot,b5,y,stemp_avg,genx,number,degrees Celsius,average incoming temperature from multiplexer screened for feedback loop temperature,genx_control
STemp_Avg(17),stemp_avg17,plot,b6,y,stemp_avg,genx,number,degrees Celsius,average incoming temperature from multiplexer screened for feedback loop temperature,genx_control
STemp_Avg(18),stemp_avg18,plot,b7,y,stemp_avg,genx,number,degrees Celsius,average incoming temperature from multiplexer screened for feedback loop temperature,genx_control
STemp_Avg(19),stemp_avg19,plot,b8,y,stemp_avg,genx,number,degrees Celsius,average incoming temperature from multiplexer screened for feedback loop temperature,genx_control
STemp_Avg(20),stemp_avg20,plot,b9,y,stemp_avg,genx,number,degrees Celsius,average incoming temperature from multiplexer screened for feedback loop temperature,genx_control
STemp_Avg(21),stemp_avg21,plot,c0,y,stemp_avg,genx,number,degrees Celsius,average incoming temperature from multiplexer screened for feedback loop temperature,genx_control
STemp_Avg(22),stemp_avg22,plot,c1,y,stemp_avg,genx,number,degrees Celsius,average incoming temperature from multiplexer screened for feedback loop temperature,genx_control
STemp_Avg(23),stemp_avg23,plot,c2,y,stemp_avg,genx,number,degrees Celsius,average incoming temperature from multiplexer screened for feedback loop temperature,genx_control
STemp_Avg(24),stemp_avg24,plot,c3,y,stemp_avg,genx,number,degrees Celsius,average incoming temperature from multiplexer screened for feedback loop temperature,genx_control
STemp_Avg(25),stemp_avg25,plot,c4,y,stemp_avg,genx,number,degrees Celsius,average incoming temperature from multiplexer screened for feedback loop temperature,genx_control
STemp_Avg(26),stemp_avg26,plot,c5,y,stemp_avg,genx,number,degrees Celsius,average incoming temperature from multiplexer screened for feedback loop temperature,genx_control
STemp_Avg(27),stemp_avg27,plot,c6,y,stemp_avg,genx,number,degrees Celsius,average incoming temperature from multiplexer screened for feedback loop temperature,genx_control
STemp_Avg(28),stemp_avg28,plot,c7,y,stemp_avg,genx,number,degrees Celsius,average incoming temperature from multiplexer screened for feedback loop temperature,genx_control
STemp_Avg(29),stemp_avg29,plot,c8,y,stemp_avg,genx,number,degrees Celsius,average incoming temperature from multiplexer screened for feedback loop temperature,genx_control
STemp_Avg(30),stemp_avg30,plot,c9,y,stemp_avg,genx,number,degrees Celsius,average incoming temperature from multiplexer screened for feedback loop temperature,genx_control
STemp_Raw_Std(1),stemp_raw_std1,plot,a0,y,stemp_raw_std,genx,number,degrees Celsius,standard deviation of incoming temperature from multiplexer,genx_control
STemp_Raw_Std(2),stemp_raw_std2,plot,a1,y,stemp_raw_std,genx,number,degrees Celsius,standard deviation of incoming temperature from multiplexer,genx_control
STemp_Raw_Std(3),stemp_raw_std3,plot,a2,y,stemp_raw_std,genx,number,degrees Celsius,standard deviation of incoming temperature from multiplexer,genx_control
STemp_Raw_Std(4),stemp_raw_std4,plot,a3,y,stemp_raw_std,genx,number,degrees Celsius,standard deviation of incoming temperature from multiplexer,genx_control
